Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
201,Bryan Helmer,2009,2009,1,12,0,3,3,-1,2,0,0,0,0,2,1,0,8,0,199,16:36
202,Archie Henderson,1981,1981,1,7,1,0,1,-1,28,1,0,0,0,0,0,0,4,25,,
203,Matt Hendricks,2011,2013,3,203,18,24,42,-14,278,17,1,0,4,22,1,1,264,6.8,2391,11:47
204,Alex Henry,2003,2003,1,38,0,0,0,-4,80,0,0,0,0,0,0,0,8,0,138,3:39
205,Matt Herr,1999,2001,2,52,4,5,9,-4,25,3,1,0,1,4,1,0,60,6.7,512,9:50
206,Jamie Heward,2006,2007,2,123,11,33,44,-1,81,5,6,0,3,14,16,3,190,5.8,2403,19:32
207,Dennis Hextall,1979,1980,2,41,3,10,13,-19,92,3,0,0,0,10,0,0,39,7.7,,
208,Doug Hicks,1982,1983,2,18,0,1,1,-10,18,0,0,0,0,1,0,0,12,0,,
209,Andre Hidi,1984,1985,2,7,2,1,3,2,9,1,1,0,0,0,1,0,8,25,,
210,Jack Hillen,2013,2015,3,71,3,12,15,6,28,3,0,0,1,12,0,0,60,5,1076,15:09
211,Benoit Hogue,2002,2002,1,9,0,1,1,2,4,0,0,0,0,1,0,0,5,0,80,8:52
212,Randy Holt,1982,1983,2,123,2,14,16,-11,525,2,0,0,0,13,0,1,62,3.2,,
213,Bill Houlder,1988,1990,3,79,2,16,18,13,42,2,0,0,0,12,4,0,74,2.7,,
214,Phil Housley*,1997,1998,2,141,17,54,71,-20,48,8,7,2,2,22,32,0,283,6,,
215,Ken Houston,1983,1984,2,75,25,14,39,-9,97,16,9,0,0,8,6,0,142,17.6,,
216,Jim Hrycuik,1975,1975,1,21,5,5,10,-12,12,4,1,0,0,2,2,1,29,17.2,,
217,Jamie Hunt,2007,2007,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,6,6:01
218,Dale Hunter,1988,1999,12,872,181,375,556,-11,2003,108,72,1,29,251,119,5,1195,15.1,435,8:42
219,Mark Hunter,1993,1993,1,7,0,0,0,1,14,0,0,0,0,0,0,0,5,0,,
220,Jamie Huscroft,2000,2000,1,7,0,0,0,-5,11,0,0,0,0,0,0,0,4,0,74,10:37
221,Al Iafrate,1991,1994,4,256,58,118,176,25,616,35,21,2,9,67,49,2,747,7.8,,
222,Jaromir Jagr,2002,2004,3,190,83,118,201,1,94,52,29,2,13,74,44,0,646,12.8,4066,21:24
223,Doug Jarvis,1983,1986,4,265,31,81,112,9,70,26,1,4,1,69,8,4,340,9.1,,
224,Wes Jarvis,1980,1982,3,144,21,41,62,-7,56,20,0,1,0,37,2,2,125,16.8,,
225,Dmitrij Jaskin,2019,2019,1,37,2,6,8,-5,6,2,0,0,0,6,0,0,48,4.2,373,10:05
226,David Jensen,1986,1988,3,56,9,9,18,-9,16,7,2,0,0,7,2,0,54,16.7,,
227,Nick Jensen,2019,2021,3,100,0,16,16,7,19,0,0,0,0,15,1,0,103,0,1762,17:37
228,Jakub Jerabek,2018,2018,1,11,1,3,4,-1,0,1,0,0,0,3,0,0,11,9.1,154,13:59
229,Calle Johansson,1989,2003,15,983,113,361,474,47,449,58,51,4,16,176,176,9,1768,6.4,7388,23:14
230,Jonas Johansson,2006,2006,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,4,4:14
231,Marcus Johansson,2011,2017,7,501,102,188,290,22,62,75,26,1,20,129,58,1,738,13.8,8303,16:34
232,Craig Johnson,2004,2004,1,15,0,6,6,-6,8,0,0,0,0,6,0,0,20,0,253,16:53
233,Jim Johnson,1994,1996,3,121,2,17,19,2,89,2,0,0,0,15,2,0,100,2,,
234,Jay Johnston,1981,1982,2,8,0,0,0,-2,13,0,0,0,0,0,0,0,3,0,,
235,Greg Joly,1975,1976,2,98,9,24,33,-116,72,4,4,1,1,14,10,0,154,5.8,,
